index,Cinsiyet,Yaş Grubu,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi
16,Erkek,18-30,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,332390.941182274,Büyük Şehir,Elektronik ve Teknolojik Ürünler,25457.5106437569,25.3016825221523,Etmiyor,obek_7,102.505847181893
17,Erkek,51-60,Evli,Yüksekokul Mezunu,Emekli,488521.817097416,Köy veya Kasaba,Ev ve Mobilya,39621.4289408882,28.1945351361871,Etmiyor,obek_6,48.7254652041184
18,Erkek,51-60,Bekar,Üniversite Mezunu,Emekli,505257.448312808,Köy veya Kasaba,Ev ve Mobilya,41729.1647770265,26.1569778999339,Etmiyor,obek_6,53.6217530517919
19,Erkek,31-40,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,493250.254094859,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,40286.2805529356,29.6728953393415,Etmiyor,obek_6,42.9660207047696
20,Erkek,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,238806.105931097,Köy veya Kasaba,Spor Malzemeleri,3641.96288105469,9.64903071552473,Etmiyor,obek_5,108.263832773005
21,Erkek,51-60,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,229107.73414163,Büyük Şehir,Elektronik ve Teknolojik Ürünler,7062.53844477983,13.6527087180021,Etmiyor,obek_3,22.3365395985617
22,Kadın,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,269360.841748153,Büyük Şehir,Giyim,9124.11423295046,48.4734199450696,Ediyor,obek_8,169.763086841224
23,Erkek,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,305712.117450619,Büyük Şehir,Ev ve Mobilya,9115.88278008095,48.2448486834309,Ediyor,obek_8,183.198603012429
24,Erkek,31-40,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,141995.912615032,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,6679.54179648224,1.22961313768997,Etmiyor,obek_4,9.90557852790909
25,Erkek,18-30,Bekar,Lise Mezunu,Kendi İşinin Sahibi,237309.658498698,Büyük Şehir,Spor Malzemeleri,9179.55854342544,46.2073446432328,Ediyor,obek_8,194.461761066958
26,Erkek,18-30,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,235677.031889486,Küçük Şehir,Ev ve Mobilya,8905.95091153229,46.4110874436163,Ediyor,obek_8,124.356194004015
27,Erkek,41-50,Evli,Lise Mezunu,Kendi İşinin Sahibi,309105.538569323,Küçük Şehir,Ev ve Mobilya,7394.35372216356,15.2908764687138,Ediyor,obek_6,17.5537635738067
28,Erkek,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,264184.814083803,Büyük Şehir,Spor Malzemeleri,9899.58415856513,51.6732389823053,Ediyor,obek_8,175.231679511401
29,Kadın,>60,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,484971.258930497,Kırsal,Giyim,39628.1520849016,25.9981652508477,Etmiyor,obek_6,44.873200165147
30,Kadın,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,358613.754007885,Küçük Şehir,Spor Malzemeleri,23674.0475814321,20.5957846622457,Etmiyor,obek_7,77.9257180153571
31,Kadın,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,296415.326818562,Küçük Şehir,Elektronik ve Teknolojik Ürünler,8648.24544898017,45.7985105983155,Etmiyor,obek_8,175.234790300351
32,Erkek,18-30,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,231552.546236007,Köy veya Kasaba,Spor Malzemeleri,5134.78144361523,15.8674845201424,Etmiyor,obek_3,21.1802146986683
33,Erkek,51-60,Bekar,Ortaokul Mezunu,Kendi İşinin Sahibi,197818.780779828,Büyük Şehir,Giyim,6142.42082050996,5.4627736272676,Etmiyor,obek_1,10.9854335913015
34,Erkek,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,355795.176305145,Büyük Şehir,Elektronik ve Teknolojik Ürünler,29477.4228857332,21.6427108259262,Etmiyor,obek_7,115.352314389855
35,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,180379.993977285,Küçük Şehir,Ev ve Mobilya,4094.57917878227,8.77115073644747,Etmiyor,obek_5,107.33020481187
36,Erkek,>60,Evli,Doktora Ötesi,Kendi İşinin Sahibi,493873.029252957,Köy veya Kasaba,Ev ve Mobilya,36989.5095489925,29.5027854703898,Etmiyor,obek_6,49.0419587912637
37,Erkek,31-40,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,969107.2878784,Küçük Şehir,Elektronik ve Teknolojik Ürünler,32814.4966555957,35.503897534479,Etmiyor,obek_4,96.9728734597152
38,Erkek,31-40,Bekar,Lise Mezunu,Emekli,296007.966905773,Küçük Şehir,Elektronik ve Teknolojik Ürünler,7476.47362683539,15.402231561292,Etmiyor,obek_3,18.1305868762048
39,Erkek,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,227718.685204491,Köy veya Kasaba,Giyim,4299.47984189687,9.71219168766701,Ediyor,obek_5,109.716012957722
40,Erkek,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,327841.377806645,Küçük Şehir,Elektronik ve Teknolojik Ürünler,22854.7027378999,20.8223704567266,Etmiyor,obek_7,96.9594200857945
41,Erkek,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,226346.988885664,Küçük Şehir,Kozmetik,8560.54649878978,54.9636635221059,Ediyor,obek_8,111.638490802932
42,Kadın,>60,Evli,Üniversite Mezunu,Emekli,475062.624202169,Büyük Şehir,Giyim,37839.5069239765,28.0202851059989,Etmiyor,obek_6,43.3117686416812
43,Kadın,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,225775.182646654,Kırsal,Kozmetik,5019.29459627396,3.73885418916371,Etmiyor,obek_1,6.3919146548221
44,Erkek,31-40,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,1062555.0904419,Büyük Şehir,Giyim,31050.541401218,40.2026920019469,Etmiyor,obek_4,94.9434956952626
45,Erkek,51-60,Evli,Üniversite Mezunu,Emekli,479729.242611132,Büyük Şehir,Elektronik ve Teknolojik Ürünler,43752.6171389746,29.7422794881992,Etmiyor,obek_6,58.1366624845247
46,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,220817.766808806,Köy veya Kasaba,Spor Malzemeleri,4579.4769128738,11.7393859847901,Etmiyor,obek_5,103.802998321945
47,Erkek,31-40,Evli,Lise Mezunu,Kendi İşinin Sahibi,161332.822602283,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4441.70825538841,11.2567404885848,Etmiyor,obek_5,96.4290762450975
48,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,214066.247622319,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,4175.33391200379,9.58658120396261,Etmiyor,obek_5,109.138894194484
49,Kadın,31-40,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,169861.154901625,Köy veya Kasaba,Giyim,3885.98269651776,10.2210655389236,Etmiyor,obek_5,102.547307799828
50,Erkek,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,273381.83872171,Büyük Şehir,Ev ve Mobilya,8582.51762925151,50.5115111538593,Ediyor,obek_8,117.243208808476
51,Erkek,18-30,Bekar,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,842848.37014373,Büyük Şehir,Kozmetik,35190.7445564338,38.458701217081,Etmiyor,obek_6,92.8362036286312
52,Kadın,18-30,Evli,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,243617.301286013,Büyük Şehir,Elektronik ve Teknolojik Ürünler,9096.09177810582,52.9005107388139,Ediyor,obek_8,121.179534096223
53,Kadın,51-60,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,484453.178930092,Kırsal,Kozmetik,41583.6676061834,33.7768206614023,Etmiyor,obek_6,55.2507653660417
54,Erkek,51-60,Bekar,Yüksek Lisans Mezunu,Emekli,460806.202706549,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,38224.965756511,32.8319335541281,Etmiyor,obek_6,48.1767289096887
55,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,197519.665460134,Küçük Şehir,Kozmetik,3716.95290763581,11.0602719937026,Ediyor,obek_5,101.93704982206
56,Kadın,>60,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,477898.963136205,Küçük Şehir,Ev ve Mobilya,39666.4484830929,31.233180082505,Etmiyor,obek_6,53.0866947893996
57,Erkek,41-50,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,366631.363584382,Köy veya Kasaba,Ev ve Mobilya,27659.8838347393,19.5432466336771,Etmiyor,obek_7,101.692009305638
58,Erkek,51-60,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,484656.688882236,Kırsal,Giyim,41606.649270136,31.4256203230564,Etmiyor,obek_6,50.534832111396
59,Erkek,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,724183.937851898,Büyük Şehir,Ev ve Mobilya,34882.4734268347,36.8681522213229,Etmiyor,obek_4,77.1553781854986
60,Erkek,18-30,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,353877.05399167,Küçük Şehir,Elektronik ve Teknolojik Ürünler,24115.5985420256,18.6547819852471,Etmiyor,obek_7,101.153107601076
61,Erkek,31-40,Evli,Lise Mezunu,Kendi İşinin Sahibi,213145.660138022,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4052.08457674763,10.3632771665669,Etmiyor,obek_5,111.480920710432
62,Erkek,51-60,Evli,Yüksekokul Mezunu,Kendi İşinin Sahibi,503802.639347729,Kırsal,Spor Malzemeleri,41773.6210496906,31.1181838452958,Etmiyor,obek_6,45.9618034508059
63,Kadın,31-40,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,746457.276440333,Büyük Şehir,Elektronik ve Teknolojik Ürünler,33029.9072472166,39.3107318667891,Etmiyor,obek_4,82.4664162471696
64,Erkek,51-60,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,313206.279221801,Küçük Şehir,Giyim,7042.51600943992,13.4207347074722,Etmiyor,obek_3,19.3907584051108
65,Erkek,18-30,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,385850.105906357,Büyük Şehir,Giyim,6930.50734603368,15.4153875965916,Etmiyor,obek_3,17.7228736210306
66,Erkek,18-30,Bekar,Yüksek Lisans Mezunu,İşsiz veya Düzenli Bir İşi Yok,873001.55451384,Büyük Şehir,Giyim,36916.4968448431,45.0462602657387,Etmiyor,obek_4,98.9056628105768
67,Kadın,41-50,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,171229.065553412,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4231.71263507067,8.68004331015533,Etmiyor,obek_2,50.7761212283589
68,Kadın,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,1039147.77685369,Büyük Şehir,Spor Malzemeleri,37368.3770451906,41.4995167483439,Etmiyor,obek_4,109.896409836713
69,Erkek,18-30,Evli,Üniversite Mezunu,Emekli,345178.479346983,Küçük Şehir,Ev ve Mobilya,25075.5968558676,15.9961446133537,Etmiyor,obek_7,97.3762880357801
70,Kadın,51-60,Evli,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,160021.764935517,Kırsal,Ev ve Mobilya,3914.80981042507,14.3997157307976,Etmiyor,obek_2,46.9375746829276
71,Kadın,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,208052.59597791,Köy veya Kasaba,Kozmetik,4344.32529187142,11.069213714787,Etmiyor,obek_5,81.1665453617059
72,Kadın,>60,Evli,Ortaokul Mezunu,Kendi İşinin Sahibi,481675.682384705,Köy veya Kasaba,Ev ve Mobilya,35547.5192635264,29.7407283102456,Etmiyor,obek_6,54.5528496083494
73,Erkek,31-40,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,328094.106247856,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,25355.4517202578,20.0777241046937,Etmiyor,obek_4,107.96335463438
74,Kadın,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,232638.541436563,Küçük Şehir,Giyim,9251.43265428052,46.8921587622431,Ediyor,obek_8,143.733879686805
75,Erkek,51-60,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,193817.01024766,Köy veya Kasaba,Giyim,6138.51670913532,6.11532974692612,Etmiyor,obek_1,9.66471364522308
76,Erkek,41-50,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,194921.624342903,Küçük Şehir,Giyim,4902.27441052306,1.57571170831521,Etmiyor,obek_1,8.51403607408598
77,Kadın,18-30,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,174563.236687557,Kırsal,Giyim,3847.97312384171,20.7644404620445,Etmiyor,obek_2,39.4106090478324
78,Kadın,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,214590.754965015,Büyük Şehir,Ev ve Mobilya,9746.57769078766,54.5680456261643,Ediyor,obek_8,108.998783726747
79,Erkek,31-40,Bekar,Yüksek Lisans Mezunu,Emekli,480370.390207618,Köy veya Kasaba,Giyim,33848.6823486875,31.6244743556614,Etmiyor,obek_6,55.6275762967552
80,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,220204.020278918,Küçük Şehir,Elektronik ve Teknolojik Ürünler,3820.17073546894,10.4528784741152,Etmiyor,obek_5,97.09866358912
81,Kadın,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,339620.116498296,Büyük Şehir,Giyim,27522.369310763,20.7460721783601,Etmiyor,obek_7,101.581577053141
82,Kadın,>60,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,201897.272963599,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4233.35916748855,10.6645120194324,Etmiyor,obek_2,48.0351628602308
83,Erkek,31-40,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,243418.813692774,Küçük Şehir,Giyim,4902.5490909239,6.99177537103326,Etmiyor,obek_1,11.691250809329
84,Kadın,31-40,Bekar,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,1008028.41928843,Büyük Şehir,Giyim,30477.8580939799,33.7619553745319,Etmiyor,obek_4,108.323944898407
85,Kadın,31-40,Bekar,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,785522.550257108,Büyük Şehir,Spor Malzemeleri,35006.1171478908,35.0517262878604,Etmiyor,obek_4,95.5085886058228
86,Kadın,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,1039516.22745451,Büyük Şehir,Spor Malzemeleri,31163.6982980587,39.2754693292181,Etmiyor,obek_4,77.630752798321
87,Erkek,>60,Evli,Yüksek Lisans Mezunu,Kendi İşinin Sahibi,162938.631026676,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,6528.38097163475,15.3115016957619,Etmiyor,obek_6,17.7061256709585
88,Kadın,51-60,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,206839.145471143,Kırsal,Kozmetik,6040.89241228915,5.82057297217654,Etmiyor,obek_1,7.63456552998781
89,Kadın,31-40,Bekar,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,137573.654141462,Küçük Şehir,Kozmetik,4565.66152251568,5.88544194521136,Etmiyor,obek_1,10.8128168484729
90,Kadın,18-30,Evli,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,141036.607774477,Köy veya Kasaba,Kozmetik,5484.00919855731,4.27013897326056,Etmiyor,obek_1,12.1620282855857
91,Erkek,>60,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,301203.686542076,Küçük Şehir,Spor Malzemeleri,5746.34547135526,13.4274017023977,Etmiyor,obek_3,21.623182571275
92,Kadın,31-40,Bekar,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,223492.325439279,Köy veya Kasaba,Kozmetik,5824.27203823549,7.53395443221752,Etmiyor,obek_1,8.61905993478519
93,Kadın,18-30,Evli,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,365935.290647917,Büyük Şehir,Kozmetik,27248.7728660358,17.4570742753455,Etmiyor,obek_1,107.024669352744
94,Kadın,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,266218.690799773,Köy veya Kasaba,Kozmetik,9236.24795262631,54.2634998713091,Ediyor,obek_8,133.357623212975
95,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,228854.039809874,Köy veya Kasaba,Spor Malzemeleri,4476.55085316282,10.9049728700325,Etmiyor,obek_5,105.654245472951
96,Kadın,41-50,Evli,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,148414.211779233,Köy veya Kasaba,Ev ve Mobilya,3550.13354085403,24.568341109186,Etmiyor,obek_2,67.2698064363436
97,Erkek,>60,Evli,Üniversite Mezunu,Emekli,479798.996536596,Köy veya Kasaba,Spor Malzemeleri,45001.4893495828,29.8729931250499,Etmiyor,obek_6,45.4738268249533
98,Erkek,31-40,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,302856.335039934,Köy veya Kasaba,Spor Malzemeleri,6091.67701050912,12.9520593341959,Etmiyor,obek_3,18.7452664037769
99,Kadın,31-40,Evli,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,190912.738811413,Küçük Şehir,Elektronik ve Teknolojik Ürünler,3879.44993384239,16.3417532123201,Etmiyor,obek_2,51.8031395869924
100,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,335065.042384849,Küçük Şehir,Giyim,30233.3973145409,22.2929721867771,Etmiyor,obek_7,121.37317741844
101,Erkek,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,235386.734817412,Büyük Şehir,Giyim,3879.82212405822,11.0777596431519,Etmiyor,obek_5,95.0484854559593
102,Erkek,31-40,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,342996.499769404,Büyük Şehir,Ev ve Mobilya,26217.6752589957,19.8657823551331,Etmiyor,obek_7,109.935201280596
103,Kadın,18-30,Evli,Doktora Mezunu,İşsiz veya Düzenli Bir İşi Yok,162882.708447178,Küçük Şehir,Giyim,3848.96796212932,16.6364046856122,Etmiyor,obek_2,45.0952930110611
104,Kadın,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,211765.402882763,Büyük Şehir,Giyim,9655.57705129948,50.2053301974421,Ediyor,obek_8,191.485860390734
105,Erkek,18-30,Bekar,Yüksekokul Mezunu,Kendi İşinin Sahibi,1021491.9159578,Büyük Şehir,Kozmetik,31568.0346926143,37.7092503740647,Etmiyor,obek_4,106.388629584875
106,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,857216.328144801,Kırsal,Elektronik ve Teknolojik Ürünler,33568.7547734831,43.8334305377456,Etmiyor,obek_4,111.61118756842
107,Kadın,41-50,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,343369.473705081,Büyük Şehir,Elektronik ve Teknolojik Ürünler,27685.0237562017,21.6626259256599,Ediyor,obek_7,100.340032420837
108,Erkek,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,256098.174841377,Köy veya Kasaba,Giyim,4003.14477309139,9.63689326546681,Etmiyor,obek_5,95.9029368921176
109,Kadın,31-40,Bekar,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,273655.162841688,Küçük Şehir,Kozmetik,6204.04215525105,5.6817138326799,Ediyor,obek_1,8.75841066176155
110,Erkek,31-40,Bekar,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,734559.8541717,Büyük Şehir,Spor Malzemeleri,31280.275353914,40.734199135249,Etmiyor,obek_4,111.059963587883
111,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,197892.407029878,Küçük Şehir,Giyim,4121.02926079585,7.39098088869181,Etmiyor,obek_5,96.2725637477584
112,Erkek,41-50,Evli,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,378580.855685082,Büyük Şehir,Ev ve Mobilya,6302.34547890311,14.7017697412594,Etmiyor,obek_3,21.493625559971
113,Kadın,18-30,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,752025.500774477,Büyük Şehir,Giyim,34971.8405327151,40.0631206595455,Etmiyor,obek_4,104.978622712293
114,Erkek,51-60,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,158768.389684464,Kırsal,Giyim,5959.83651415298,6.90445027427301,Etmiyor,obek_1,9.35081898560903
115,Erkek,51-60,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,256961.662142823,Küçük Şehir,Elektronik ve Teknolojik Ürünler,6954.90060175687,12.3289179490434,Etmiyor,obek_3,17.5229012596599
116,Erkek,41-50,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,333592.683552654,Büyük Şehir,Giyim,24478.7539831774,21.2564099798658,Etmiyor,obek_7,91.0676712062271
117,Erkek,51-60,Evli,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,472283.556693541,Köy veya Kasaba,Ev ve Mobilya,37273.7533779583,30.859686759965,Etmiyor,obek_6,47.6246935992815
118,Erkek,51-60,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,188472.864226828,Büyük Şehir,Elektronik ve Teknolojik Ürünler,6387.59667262772,17.7148714757433,Etmiyor,obek_3,18.1506441141819
119,Kadın,51-60,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,495092.947022403,Kırsal,Spor Malzemeleri,35691.2914630404,30.8207386007569,Etmiyor,obek_6,47.3698382607308
120,Kadın,41-50,Bekar,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,196882.803916964,Büyük Şehir,Giyim,4585.20420872158,16.6464649964405,Etmiyor,obek_6,49.6280870542056
121,Erkek,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,168032.02269313,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,3857.98003968819,8.99525591230346,Ediyor,obek_5,103.711878078445
122,Erkek,18-30,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,219099.044500185,Büyük Şehir,Giyim,9391.01995209034,41.7562076769229,Ediyor,obek_8,163.367489301045
123,Erkek,31-40,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,200468.982679546,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,4143.83668049095,11.0724770874401,Etmiyor,obek_5,85.9794679604585
124,Erkek,51-60,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,488511.367821256,Kırsal,Kozmetik,40038.1134814073,29.4796235434111,Etmiyor,obek_6,56.536732841256
125,Erkek,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,890870.137377806,Büyük Şehir,Ev ve Mobilya,33652.8320005806,42.0860428718061,Etmiyor,obek_4,108.222293841419
